what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261535405725
error,log,,,"Problem in finding file status",1261535415244
error,log,,,"Problem in finding file status",1261535415252
error,log,,,"Problem in finding file status",1261535415252
error,log,,,"Problem in finding file status",1261535415253
error,log,,,"Problem in finding file status",1261535415254
error,log,,,"Problem in finding file status",1261535415254
error,log,,,"Problem in finding file status",1261535415255
error,log,,,"Problem in finding file status",1261535415256
error,log,,,"Problem in finding file status",1261535415256
error,log,,,"Problem in finding file status",1261535415257
error,log,,,"Problem in finding file status",1261535415258
error,log,,,"Problem in finding file status",1261535415261
error,log,,,"Problem in finding file status",1261535415262
error,log,,,"Problem in finding file status",1261535415263
error,log,,,"Problem in finding file status",1261535415264
error,log,,,"Problem in finding file status",1261535415264
error,log,,,"Problem in finding file status",1261535415265
error,log,,,"Problem in finding file status",1261535415266
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261535415760
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261535419398
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261535430936
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261535449405
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261535454846
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1261535456995
